"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.210775544,      -4.899502251
          0,           0,           1,      -2.342708013,     0.09573135234,      0.1582413287,       3.154008086,      -5.299883847
          0,           0,           2,      -2.819128919,     -0.3447231002,     0.03524348645,       2.643252874,      -5.908540484
          0,           0,           3,      -2.715787628,     -0.4342022315,     -0.3813401301,       2.762935365,      -6.801944764
          0,           0,           4,      -3.185644654,     -0.7427683426,     -0.7252380016,       2.309570582,       -6.98993802
          0,           0,           5,      -3.222756618,     -0.8589965828,     -0.7605982641,       2.260971154,      -7.128954417
          0,           0,           6,      -3.679354278,      -1.248389353,      -1.100549482,       1.814023359,      -7.113924162
          0,           0,           7,       -3.75753066,      -1.383064998,      -1.196379384,       1.727707225,      -6.828995057
          0,           0,           8,      -3.882162911,      -1.401697613,      -1.288533661,       1.608468193,      -6.705065575
          0,           0,           9,      -3.956155686,      -1.137311414,      -1.400891451,       1.540216721,      -5.953180326
          0,           0,          10,      -4.014471571,      -1.178199609,      -1.369057977,       1.473331927,      -6.131829558
          0,           0,          11,      -4.063163921,       -1.25870319,      -1.460280555,       1.422259284,      -6.181942408
          0,           0,          12,      -4.125312347,      -1.302829626,      -1.531991891,       1.356277523,      -6.236030264
          0,           0,          13,       -4.15545868,      -1.323768643,      -1.586453008,       1.322868709,       -6.25691798
          0,           0,          14,      -4.173950022,      -1.336708764,      -1.630175612,       1.303511667,      -6.267611084
          0,           0,          15,      -4.206513823,      -1.351074834,      -1.670104718,        1.27136242,      -6.267652704
          0,           0,          16,      -4.230833634,       -1.36701556,      -1.686317402,        1.24818966,      -6.260420238
          0,           0,          17,      -4.262518356,       -1.38145396,      -1.707035344,       1.217095662,      -6.239974643
          0,           0,          18,       -4.29318619,       -1.40081655,      -1.723778554,       1.186271247,       -6.20595942
          0,           0,          19,      -4.325622027,      -1.418542119,      -1.749254631,       1.153359572,       -6.17450407
          0,           0,          20,      -4.350875824,       -1.43937587,       -1.77025616,       1.127444244,      -6.150749571
          0,           0,          21,      -4.373593194,      -1.458395603,      -1.790838537,       1.104499515,      -6.136868159
          0,           0,          22,      -4.387779557,      -1.476366777,      -1.804125528,       1.090502279,       -6.12435884
          0,           0,          23,      -4.397252958,      -1.490416156,      -1.811807266,       1.081627048,      -6.122979571
          0,           0,          24,      -4.405994663,      -1.503769505,      -1.818212378,       1.073739353,      -6.120668159
          0,           0,          25,      -4.419578626,      -1.515516674,      -1.826494518,       1.061093026,      -6.106823143
          0,           0,          26,      -4.438909394,      -1.528825236,      -1.839897883,       1.042529393,       -6.08580691
          0,           0,          27,      -4.460945641,      -1.541292697,      -1.858484115,       1.021017166,      -6.063453814
          0,           0,          28,       -4.48888772,      -1.555913877,      -1.884347164,      0.9935542618,      -6.041881454
          0,           0,          29,      -4.514529184,      -1.570490238,      -1.909949415,       0.968405086,      -6.033207095
          0,           0,          30,      -4.533211993,      -1.583366568,      -1.930625836,      0.9505077173,      -6.041789616
          0,           0,          31,      -4.543707812,      -1.592933551,      -1.944569666,      0.9411196516,      -6.049493919
          0,           0,          32,      -4.554698195,      -1.603826849,      -1.955483292,      0.9313887655,      -6.044372112
          0,           0,          33,       -4.56876171,      -1.615811924,      -1.966353811,      0.9183669241,      -6.029967265
          0,           0,          34,      -4.587250628,      -1.630870459,      -1.979250873,       0.900602815,      -6.016030441
          0,           0,          35,      -4.610949056,      -1.647014029,      -1.997288588,      0.8773166427,      -6.006507662
          0,           0,          36,      -4.637566421,      -1.666343478,      -2.017872395,      0.8507413941,      -6.003210016
          0,           0,          37,      -4.665260028,      -1.687463054,      -2.039995775,      0.8228385136,      -6.010106841
          0,           0,          38,      -4.688668753,      -1.708970051,      -2.058684562,      0.7990498524,      -6.028868432
          0,           0,          39,      -4.700761705,      -1.727768661,      -2.068972101,      0.7865490472,      -6.054468919
          0,           0,          40,      -4.698750176,      -1.744074023,      -2.070459938,      0.7884130169,      -6.080261631
          0,           0,          41,      -4.691259889,      -1.758901077,      -2.067630524,       0.796125128,      -6.102184793
          0,           0,          42,      -4.685307302,      -1.774009987,      -2.064722759,      0.8025069613,      -6.119384183
          0,           0,          43,       -4.68492062,       -1.78965218,      -2.065218933,      0.8033367669,      -6.132365361
          0,           0,          44,      -4.691295673,      -1.806585931,      -2.071669473,      0.7974318627,      -6.143251872
          0,           0,          45,      -4.704660637,      -1.824044988,      -2.084940458,      0.7846333768,      -6.152186124
          0,           0,          46,      -4.726314807,      -1.843984599,       -2.10517176,       0.763686653,      -6.160945374
          0,           0,          47,      -4.749850611,      -1.864947678,      -2.127059895,      0.7408232659,       -6.17738995
          0,           0,          48,      -4.765221282,      -1.879783853,      -2.144386955,      0.7264315518,      -6.198199323
          0,           0,          49,      -4.777786744,      -1.889936721,      -2.158546214,      0.7153208847,      -6.214015881
          0,           0,          50,      -4.789775746,      -1.901113245,      -2.170554042,      0.7045238122,      -6.225299403
          0,           0,          51,      -4.803631291,      -1.914382817,      -2.182462845,      0.6914684315,      -6.236254631
          0,           0,          52,      -4.820305222,      -1.929863572,      -2.196064304,      0.6753297186,      -6.247804169
          0,           0,          53,      -4.840101633,      -1.947197336,      -2.212645578,      0.6558170513,      -6.258937261
          0,           0,          54,      -4.863680762,      -1.967202986,      -2.231537104,      0.6322554861,       -6.26935744
          0,           0,          55,      -4.888099867,      -1.990628155,      -2.250695835,       0.607464252,       -6.28156818
          0,           0,          56,      -4.912887264,      -2.016347199,      -2.269142059,      0.5820231567,      -6.299344127
          0,           0,          57,      -4.933920189,      -2.040212965,      -2.284458565,      0.5602419934,      -6.321295989
          0,           0,          58,      -4.940075255,      -2.059515855,      -2.291997977,      0.5533259331,      -6.343676477
          0,           0,          59,      -4.935962461,       -2.07631942,      -2.294221275,      0.5569046637,       -6.36498775
          0,           0,          60,      -4.930481212,      -2.092978628,      -2.294289587,      0.5619611421,      -6.385448186
          0,           0,          61,       -4.92749738,      -2.109992307,      -2.295162674,      0.5645917478,       -6.40483143
          0,           0,          62,      -4.929432289,      -2.127697897,      -2.299268032,      0.5624989311,      -6.423036811
          0,           0,          63,      -4.937561858,      -2.146288635,      -2.307960806,      0.5544530301,      -6.440130937
          0,           0,          64,      -4.952481404,      -2.166438371,      -2.321755144,      0.5398319628,      -6.455879033
          0,           0,          65,      -4.974344725,      -2.189502665,      -2.339870769,      0.5183748024,      -6.473127104
          0,           0,          66,      -4.996097817,      -2.212694338,      -2.358153655,      0.4969958516,      -6.495105049
          0,           0,          67,      -5.007902963,      -2.226289637,      -2.371786937,      0.4861478707,       -6.51316626
          0,           0,          68,      -5.021882473,      -2.237255658,      -2.385083258,      0.4736096866,      -6.526751968
          0,           0,          69,      -5.034340258,      -2.249714986,      -2.397400425,      0.4620431726,      -6.541828772
          0,           0,          70,      -5.049669013,      -2.264667403,      -2.411474397,      0.4473116492,      -6.560080523
          0,           0,          71,      -5.066450225,      -2.281356347,      -2.427516346,      0.4309305519,      -6.579066839
          0,           0,          72,      -5.085596503,      -2.299734837,      -2.445877982,      0.4119743362,      -6.596767872
          0,           0,          73,       -5.10757799,      -2.320682225,      -2.465421553,      0.3899610831,      -6.613067649
          0,           0,          74,      -5.129730816,      -2.345250147,      -2.483890451,      0.3673825842,      -6.629962348
          0,           0,          75,      -5.152616866,      -2.373004181,      -2.500831607,      0.3437374685,      -6.650695465
          0,           0,          76,      -5.174211091,      -2.398843057,       -2.51571973,      0.3214107048,      -6.671735227
          0,           0,          77,      -5.180520971,      -2.419102946,      -2.524086172,      0.3143241015,      -6.691767963
          0,           0,          78,      -5.180111744,      -2.437336273,      -2.529614125,      0.3140497257,      -6.712074794
          0,           0,          79,      -5.180033168,      -2.456018821,      -2.534651403,      0.3133489595,      -6.732821401
          0,           0,          80,      -5.181762648,      -2.474960719,      -2.541079655,      0.3109232587,      -6.752991388
          0,           0,          81,      -5.187029547,      -2.494357661,      -2.549897897,       0.305206603,       -6.77237805
          0,           0,          82,      -5.197398872,      -2.514419946,      -2.561625251,      0.2946563948,      -6.791057637
          0,           0,          83,      -5.213116268,      -2.536047835,      -2.576245418,      0.2789349642,      -6.808789234
          0,           0,          84,       -5.23479442,      -2.560755212,      -2.593327597,      0.2573114302,      -6.828172908
          0,           0,          85,      -5.255698617,      -2.585680232,      -2.609747942,      0.2363611613,      -6.850844318
          0,           0,          86,      -5.266582147,      -2.600290058,      -2.621301098,      0.2260118178,      -6.868351405
          0,           0,          87,      -5.280228012,      -2.612867313,      -2.633335579,      0.2132929918,      -6.883487703
          0,           0,          88,      -5.292876657,      -2.626602658,      -2.645929437,      0.2011727683,      -6.901779475
          0,           0,          89,      -5.308548777,      -2.643284189,      -2.661407209,      0.1858455902,      -6.923365278
          0,           0,          90,      -5.325058179,      -2.661366877,      -2.679202631,      0.1695730438,      -6.945211862
          0,           0,          91,       -5.34342169,       -2.68062114,      -2.699108143,      0.1513337813,      -6.965602988
          0,           0,          92,       -5.36434655,      -2.701802076,       -2.71976283,      0.1304234114,      -6.984504349
          0,           0,          93,      -5.385513152,      -2.725991728,      -2.738814953,      0.1090060672,      -7.002853494
          0,           0,          94,      -5.406386951,      -2.754415658,      -2.755021281,     0.08746372999,      -7.025246351
          0,           0,          95,      -5.429149722,      -2.783209243,      -2.769535255,     0.06403617544,      -7.046456453
          0,           0,          96,      -5.436546171,      -2.804863857,       -2.77801846,     0.05602533368,      -7.066651322
          0,           0,          97,      -5.439435822,      -2.824303208,      -2.785403946,     0.05258366691,      -7.088051291
          0,           0,          98,      -5.443899912,      -2.844906385,      -2.794090207,     0.04740381776,      -7.110170975
          0,           0,          99,      -5.449536087,       -2.86533599,      -2.805066988,     0.04114922126,      -7.131651759
          0,           0,         100,      -5.457781302,      -2.885898161,      -2.818153818,     0.03249690791,      -7.152472948
          0,           0,         101,      -5.470139007,      -2.906809921,      -2.832958966,     0.01993114827,      -7.172800624
          0,           0,         102,      -5.486740212,      -2.928902755,      -2.848890231,    0.003241529224,      -7.192093391
          0,           0,         103,      -5.508434169,      -2.954033125,      -2.865592493,    -0.01854477423,      -7.212278093
          0,           0,         104,       -5.52992701,      -2.980742226,      -2.881058058,    -0.04033260903,       -7.23582861
          0,           0,         105,      -5.540530522,      -2.997283636,        -2.8907775,    -0.05085690266,      -7.255023573
          0,           0,         106,      -5.553132015,      -3.011212543,      -2.901159997,    -0.06304213835,      -7.272674743
          0,           0,         107,      -5.565520302,      -3.025700117,        -2.9135297,    -0.07521783957,      -7.293394416
          0,           0,         108,       -5.58101409,      -3.044344875,      -2.929774181,    -0.09064442072,      -7.317239813
          0,           0,         109,      -5.597089152,      -3.064035718,      -2.948973783,      -0.106653999,      -7.340953916
          0,           0,         110,      -5.614546119,      -3.084090907,      -2.970182815,     -0.1240392127,      -7.363197593
          0,           0,         111,      -5.634585049,      -3.105154862,       -2.99174795,     -0.1440043718,      -7.384406281
          0,           0,         112,      -5.656015076,      -3.127888299,      -3.011771042,     -0.1654300998,        -7.4038543
          0,           0,         113,      -5.675938666,      -3.154108967,       -3.02819452,      -0.185708906,      -7.427400569
          0,           0,         114,      -5.698391526,      -3.185565579,       -3.04215226,     -0.2087784153,      -7.450417166
          0,           0,         115,       -5.70808736,      -3.209066815,      -3.050420277,     -0.2189146674,      -7.472099658
          0,           0,         116,      -5.712698414,      -3.227921828,      -3.058351405,     -0.2238776684,      -7.495057764
          0,           0,         117,      -5.720526496,       -3.25012063,      -3.069254453,     -0.2322583687,      -7.518792582
          0,           0,         118,      -5.728803321,      -3.270697597,      -3.083541954,     -0.2409453624,      -7.541948454
          0,           0,         119,      -5.739254687,      -3.291019403,      -3.100158629,     -0.2516248537,      -7.564628082
          0,           0,         120,      -5.753171233,      -3.311369247,      -3.117917827,     -0.2656330069,      -7.586802574
          0,           0,         121,        -5.7706426,      -3.332465994,      -3.135487605,     -0.2831183791,       -7.60783974
          0,           0,         122,       -5.79235231,      -3.356028599,      -3.152314793,     -0.3048691077,      -7.628333316
          0,           0,         123,      -5.815603798,      -3.383658936,      -3.167622484,     -0.3284367893,      -7.652750259
          0,           0,         124,      -5.827124775,      -3.402982294,      -3.176214588,     -0.3402060237,      -7.673895787
          0,           0,         125,      -5.838249364,      -3.417320729,      -3.184695144,     -0.3512514802,      -7.693206592
          0,           0,         126,      -5.850160505,      -3.431737581,      -3.196357393,     -0.3631954959,      -7.715250103
          0,           0,         127,      -5.865207336,      -3.451730187,      -3.212922487,     -0.3784088575,      -7.740132589
          0,           0,         128,      -5.880755987,      -3.472229649,      -3.233237439,     -0.3940170078,      -7.764423867
          0,           0,         129,      -5.897460984,      -3.491934566,       -3.25565901,     -0.4106746905,      -7.787762505
          0,           0,         130,      -5.916437481,      -3.512035168,      -3.277924646,     -0.4295417187,      -7.811008367
          0,           0,         131,      -5.937694584,      -3.533070542,      -3.298388993,     -0.4506422021,      -7.833253634
          0,           0,         132,      -5.959651847,      -3.556251101,      -3.315762509,     -0.4726157859,      -7.857548161
          0,           0,         133,      -5.981158996,      -3.586834741,      -3.329463183,      -0.494538187,      -7.883033527
          0,           0,         134,      -5.992578831,      -3.611797598,      -3.337531191,     -0.5062700758,      -7.907291215
          0,           0,         135,      -5.998048334,      -3.627839658,      -3.345028524,     -0.5119272329,      -7.932330114
          0,           0,         136,      -6.008075795,      -3.651371673,      -3.356836703,     -0.5224029974,       -7.95775937
          0,           0,         137,      -6.017836611,      -3.670623658,      -3.373050606,     -0.5324066661,      -7.982662656
          0,           0,         138,      -6.029497933,      -3.688570126,      -3.392234671,     -0.5441165192,      -8.007244484
          0,           0,         139,      -6.044361882,      -3.706453281,      -3.412565201,        -0.5589208,      -8.031210139
          0,           0,         140,      -6.062496539,      -3.724929365,      -3.431951536,     -0.5769376254,      -8.053844875
          0,           0,         141,      -6.084105651,      -3.744974217,      -3.449380945,     -0.5984383923,      -8.074268014
          0,           0,         142,      -6.108750891,      -3.770330053,      -3.464825338,     -0.6232352876,      -8.098512534
          0,           0,         143,      -6.123572825,        -3.7945531,      -3.473669333,     -0.6384846814,      -8.120866433
          0,           0,         144,       -6.13267017,      -3.807970227,       -3.47996366,     -0.6476631763,      -8.140367552
          0,           0,         145,      -6.143897683,      -3.820972691,      -3.490332392,     -0.6590761867,      -8.162258351
          0,           0,         146,      -6.158557085,      -3.841050365,      -3.506749267,     -0.6740330559,      -8.186102391
          0,           0,         147,      -6.173505042,      -3.860638597,      -3.527676222,     -0.6891036963,       -8.21020552
          0,           0,         148,       -6.18964644,      -3.877731655,      -3.551220774,     -0.7051823101,      -8.234387764
          0,           0,         149,      -6.208010841,      -3.895468869,      -3.574655085,     -0.7233852218,      -8.259088423
          0,           0,         150,      -6.228477659,      -3.913354685,      -3.595834814,     -0.7435707411,      -8.283637596
          0,           0,         151,      -6.251211153,      -3.932270834,      -3.613799854,     -0.7660828472,      -8.308790889
          0,           0,         152,      -6.275388578,      -3.963463513,      -3.628061972,     -0.7905082216,      -8.335009885
          0,           0,         153,      -6.287766097,      -3.989131669,      -3.635719078,     -0.8031010877,      -8.360538605
          0,           0,         154,      -6.293037108,      -3.999592038,      -3.642171806,     -0.8084042808,       -8.38703708
          0,           0,         155,      -6.304577298,      -4.025373755,      -3.653801412,     -0.8203919725,      -8.413639256
          0,           0,         156,      -6.315298248,      -4.043700764,      -3.670851306,     -0.8313081653,      -8.439709781
          0,           0,         157,      -6.327390215,      -4.058174975,      -3.691675617,     -0.8433456591,      -8.465865604
          0,           0,         158,       -6.34262591,      -4.072625402,      -3.714090066,     -0.8584121687,      -8.491488665
          0,           0,         159,      -6.361151681,      -4.087954053,      -3.735367959,     -0.8767059326,      -8.515334615
          0,           0,         160,      -6.382679541,      -4.104230995,      -3.753882645,     -0.8979717752,      -8.535752123
          0,           0,         161,      -6.407415811,      -4.123765013,       -3.76941319,     -0.9226117367,      -8.558059689
          0,           0,         162,      -6.427280834,      -4.153982642,      -3.779655845,     -0.9429467497,      -8.580700362
          0,           0,         163,      -6.434827349,      -4.167713243,       -3.78397518,     -0.9506702491,      -8.599600725
          0,           0,         164,      -6.444840479,      -4.177632374,      -3.792517042,     -0.9609097045,      -8.619616325
          0,           0,         165,       -6.45953019,      -4.199403862,      -3.808342748,     -0.9760081381,      -8.641419982
          0,           0,         166,      -6.473802289,      -4.216930445,      -3.829391125,     -0.9904279334,      -8.665444212
          0,           0,         167,      -6.489270017,      -4.230745541,      -3.853740969,      -1.005811633,      -8.690121349
          0,           0,         168,      -6.507306062,      -4.246058232,      -3.878522134,      -1.023647799,      -8.715350524
          0,           0,         169,      -6.527186964,      -4.260949171,      -3.900814013,      -1.043168767,      -8.740995066
          0,           0,         170,      -6.549841505,      -4.275034306,      -3.919531372,      -1.065383058,      -8.765445595
          0,           0,         171,       -6.57492683,      -4.300530673,      -3.934276922,      -1.090492469,      -8.790965706
          0,           0,         172,      -6.592463634,      -4.338172812,      -3.942250109,      -1.108378919,      -8.815550919
          0,           0,         173,      -6.595098033,      -4.337288144,      -3.947034445,      -1.110858731,      -8.841157849
          0,           0,         174,      -6.608065514,      -4.367172393,      -3.957802493,      -1.124335106,      -8.867465127
          0,           0,         175,      -6.619510969,      -4.386120716,      -3.974957734,      -1.136023571,      -8.893955349
          0,           0,         176,      -6.631705146,      -4.398472775,      -3.996675395,       -1.14814885,      -8.920748126
          0,           0,         177,       -6.64694611,       -4.40973809,      -4.020722132,      -1.163155116,      -8.947408584
          0,           0,         178,      -6.665541669,      -4.422848712,      -4.043791697,      -1.181445432,      -8.971915113
          0,           0,         179,      -6.686969481,      -4.436223199,      -4.063694239,       -1.20247866,      -8.992178711
          0,           0,         180,      -6.711189699,       -4.45014089,      -4.079510368,      -1.226359554,      -9.011273554
          0,           0,         181,      -6.735328983,      -4.482110984,      -4.091191328,       -1.25084561,      -9.032933992
          0,           0,         182,      -6.743639077,      -4.501540276,      -4.094554285,      -1.259466375,      -9.050932216
          0,           0,         183,      -6.751639676,      -4.507212747,      -4.100913995,      -1.267657667,      -9.067556718
          0,           0,         184,      -6.766533826,      -4.532041358,      -4.115692953,      -1.283067351,      -9.086420932
          0,           0,         185,      -6.780298083,      -4.548838099,      -4.136469903,      -1.297024898,      -9.110327635
          0,           0,         186,      -6.795063575,      -4.560359562,      -4.161261837,      -1.311703499,      -9.135078913
          0,           0,         187,      -6.812704961,      -4.573605016,      -4.187224752,      -1.329121014,      -9.159923249
          0,           0,         188,      -6.832319732,      -4.587071968,      -4.210780818,      -1.348349042,      -9.185149427
          0,           0,         189,      -6.854645358,      -4.598448896,      -4.230443705,      -1.370098822,      -9.208164197
          0,           0,         190,      -6.879004325,      -4.613539642,      -4.245529964,      -1.394151129,      -9.231427352
          0,           0,         191,      -6.902690334,      -4.663548293,      -4.254641237,      -1.418343489,      -9.253826491
          0,           0,         192,      -6.903750795,      -4.658448034,      -4.257665711,      -1.419230311,      -9.276067069
          0,           0,         193,       -6.91651813,      -4.686937344,      -4.267066596,      -1.432495336,      -9.299797624
          0,           0,         194,      -6.928956527,      -4.710227129,      -4.283714161,      -1.445324053,       -9.32606602
          0,           0,         195,      -6.941112332,       -4.72163706,      -4.305798938,      -1.457447337,      -9.353206911
          0,           0,         196,      -6.956049248,      -4.730962683,      -4.330900966,      -1.472138535,      -9.380152986
          0,           0,         197,      -6.974533806,       -4.74289505,      -4.355554473,      -1.490281997,      -9.405044604
          0,           0,         198,      -6.995699111,      -4.754539315,      -4.376880213,      -1.510966981,      -9.425060731
          0,           0,         199,      -7.019507405,        -4.7653317,      -4.393433407,      -1.534248401,      -9.440977368
          0,           0,         200,      -7.045565799,      -4.792889101,      -4.405957535,      -1.560395278,       -9.45995672
          0,           0,         201,      -7.057534327,      -4.822580889,      -4.409755278,      -1.572834868,      -9.476688986
          0,           0,         202,      -7.063043653,      -4.824366499,      -4.413855713,      -1.578494373,      -9.489824255
          0,           0,         203,      -7.077894388,      -4.851257484,      -4.427171091,      -1.593934666,      -9.504900576
          0,           0,         204,      -7.091484683,      -4.869725114,      -4.447330504,      -1.607813212,      -9.528523531
